训练开始时间: Thu Aug 28 02:44:37 UTC 2025
Wandb离线模式已启用，日志将保存在: wandb_offline_logs/fragldm_base_20250828_024437
wandb: WARNING Path wandb_offline_logs/fragldm_base_20250828_024437/wandb/ wasn't writable, using system temp directory.
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.7
wandb: W&B syncing is set to `offline` in this directory.  
wandb: Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: WARNING Symlinked 3 files into the W&B run directory, call wandb.save again to sync new files.
Entropy of n_nodes: H[N] -2.475700616836548
Autoencoder models are _not_ conditioned on time.
alphas2 [9.99990000e-01 9.99988000e-01 9.99982000e-01 ... 2.59676966e-05
 1.39959211e-05 1.00039959e-05]
gamma [-11.51291546 -11.33059532 -10.92513058 ...  10.55863126  11.17673063
  11.51251595]

==================================================
训练配置:
- 模型: egnn_dynamics
- 数据集: qm9
- 条件: 无
- 部分条件化: 已启用
  - 噪声比例: 0.8
  - 掩码策略: connected
==================================================

Epoch: 0, iter: 68/12500, Loss 3.08, NLL: 3.08, RegTerm: 0.0, GradNorm: 5.7 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 69/12500, Loss 3.81, NLL: 3.81, RegTerm: 0.0, GradNorm: 34.5 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 70/12500, Loss 3.14, NLL: 3.14, RegTerm: 0.0, GradNorm: 7.1 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 71/12500, Loss 3.00, NLL: 3.00, RegTerm: 0.0, GradNorm: 6.2 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 72/12500, Loss 2.95, NLL: 2.95, RegTerm: 0.0, GradNorm: 9.9 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 73/12500, Loss 2.54, NLL: 2.54, RegTerm: 0.0, GradNorm: 8.2 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 74/12500, Loss 2.72, NLL: 2.72, RegTerm: 0.0, GradNorm: 9.6 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 75/12500, Loss 3.03, NLL: 3.03, RegTerm: 0.0, GradNorm: 4.1 | Cond: 0.21, Noise: 0.79
Epoch: 0, iter: 76/12500, Loss 2.78, NLL: 2.78, RegTerm: 0.0, GradNorm: 4.9 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 77/12500, Loss 2.74, NLL: 2.74, RegTerm: 0.0, GradNorm: 6.4 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 78/12500, Loss 2.98, NLL: 2.98, RegTerm: 0.0, GradNorm: 8.5 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 79/12500, Loss 3.24, NLL: 3.24, RegTerm: 0.0, GradNorm: 11.3 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 80/12500, Loss 2.63, NLL: 2.63, RegTerm: 0.0, GradNorm: 3.3 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 81/12500, Loss 2.52, NLL: 2.52, RegTerm: 0.0, GradNorm: 5.8 | Cond: 0.24, Noise: 0.76
Epoch: 0, iter: 82/12500, Loss 2.55, NLL: 2.55, RegTerm: 0.0, GradNorm: 5.2 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 83/12500, Loss 2.43, NLL: 2.43, RegTerm: 0.0, GradNorm: 8.2 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 84/12500, Loss 2.88, NLL: 2.88, RegTerm: 0.0, GradNorm: 3.7 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 85/12500, Loss 2.52, NLL: 2.52, RegTerm: 0.0, GradNorm: 6.9 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 86/12500, Loss 2.66, NLL: 2.66, RegTerm: 0.0, GradNorm: 4.5 | Cond: 0.22, Noise: 0.78
